full_name,position,team,adp_overall,adp_position,sleeper_proj_pts_week1,lag1_room40_pts,lag1_pts_per_game,lag1_games,lag1_target_share,lag1_snap_share_avg,projected_room40_pts,model_used,new_oc,coach_proe_signature,team_changed,player_type,replacement_value,vorp,vorp_rank,adp_rank,value_gap,injury_shortened_2025,lag1_pace_adj_pts,elite_mover_2026
Amon-Ra St. Brown,WR,DET,6.0,3.0,17.46,324.0,19.0588235294118,17.0,0.351398571465057,0.852352941176471,220.44523912800827,WR_lgbm,1,-2.3156060854344385,0,veteran,135.8305514016934,84.61468772631486,11.0,6.0,-5.0,False,324.0000000000006,False
Jonathan Taylor,RB,IND,8.0,4.0,16.93,362.3,21.3117647058824,17.0,0.132257495714923,0.825882352941177,239.158296591235,RB_ridge,0,-5.206003754852174,0,veteran,156.1167596867138,83.0415369045212,12.0,8.0,-4.0,False,362.3000000000008,False
Tetairoa McMillan,WR,CAR,30.0,13.0,13.23,211.4,12.4352941176471,17.0,0.270758600655203,0.873333333333333,212.624165334823,WR_lgbm,0,-0.9174934729566496,0,veteran,135.8305514016934,76.79361393312959,13.0,30.0,17.0,False,211.4000000000007,False
Zay Flowers,WR,BAL,25.0,12.0,13.61,243.3,14.3117647058824,17.0,0.317540828409795,0.864705882352941,204.90512966126863,WR_lgbm,0,0.4558089730608386,0,veteran,135.8305514016934,69.07457825957522,14.0,25.0,11.0,False,243.3000000000008,False
Trey McBride,TE,ARI,9.0,1.0,15.31,315.9,18.5823529411765,17.0,0.284817934296936,0.913529411764706,205.33776003457865,TE_gbm,0,-4.450844670721244,0,veteran,137.2432429488599,68.09451708571876,15.0,9.0,-6.0,False,315.9000000000005,False
De'Von Achane,RB,MIA,12.0,5.0,15.89,322.8,20.175,16.0,0.228395972840469,0.75375,224.04319249845105,RB_ridge,0,-0.5447121886359134,0,veteran,156.1167596867138,67.92643281173724,16.0,12.0,-4.0,False,342.975,False
Bo Nix,QB,DEN,105.0,15.0,19.96,315.84,18.5788235294118,17.0,0.0277777777777778,0.996666666666667,280.1838434147205,QB_ridge,0,1.6623237357923664,0,veteran,212.80908857304937,67.37475484167115,17.0,105.0,88.0,False,315.8400000000006,False
Emeka Egbuka,WR,TB,45.0,21.0,11.89,195.7,11.5117647058824,17.0,0.258517160784968,0.776470588235294,194.34239443208824,WR_lgbm,1,-2.3156060854344385,0,veteran,135.8305514016934,58.51184303039483,18.0,45.0,27.0,False,195.7000000000008,False
Ashton Jeanty,RB,LV,19.0,8.0,15.33,245.1,14.4176470588235,17.0,0.189566508593348,0.778823529411765,214.4441427813183,RB_ridge,1,-2.3156060854344385,0,veteran,156.1167596867138,58.3273830946045,19.0,19.0,0.0,False,245.09999999999948,False
Caleb Williams,QB,CHI,92.0,11.0,20.39,325.18,19.1282352941176,17.0,0.0588235294117647,0.991578947368421,267.64228624942666,QB_ridge,1,-4.79011169771107,0,veteran,212.80908857304937,54.833197676377296,20.0,92.0,72.0,False,325.1799999999992,False
James Cook,RB,BUF,15.0,7.0,15.65,302.2,17.7764705882353,17.0,0.109399124513728,0.576842105263158,209.32023755035792,RB_ridge,0,-1.7945790111540487,0,veteran,156.1167596867138,53.20347786364411,21.0,15.0,-6.0,False,302.20000000000005,False
Wan'Dale Robinson,WR,TEN,94.0,42.0,10.07,217.9,13.61875,16.0,0.325770523565909,0.9075,188.97603655766727,WR_lgbm,0,-6.68407505908549,1,veteran,135.8305514016934,53.14548515597386,22.0,94.0,72.0,False,231.51875,True
Jaylen Waddle,WR,DEN,33.0,15.0,13.12,194.12,12.1325,16.0,0.254045121099597,0.77625,188.45545409620863,WR_lgbm,0,1.6623237357923664,1,veteran,135.8305514016934,52.624902694515214,23.0,33.0,10.0,False,206.2525,True
